Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Betula pubescens,6,1495.535714,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Betula pubescens,11,5223.214286,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Betula pubescens,18,9732.142857,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Betula pendula,6,848.2142857,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Betula pendula,11,4575.892857,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Betula pendula,18,7901.785714,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Alnus incana,6,1049.107143,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Alnus incana,11,3928.571429,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Alnus incana,18,5937.5,NA,NA,NA,NA,Finland,Monoculture plantations; no fertilizer treatment,"Hytönen, J., and A. Saarsalmi. 2009. Long-term biomass production and nutrient uptake of birch, alder and willow plantations on cut-away peatland. Biomass and Bioenergy 33:1197–1211.",,,,,,,,
Populus x,19,6700,200,NA,NA,350,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
