Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Picea mariana,NA,13500,NA,NA,5.42,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,13640,NA,NA,3.27,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,15050,NA,NA,4,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,15140,NA,NA,4.26,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Abies balsamea,NA,3900,NA,NA,4.1,640,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,14100,NA,NA,9.7,1400,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,9720,NA,NA,4.4,420,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,13940,NA,NA,5.9,620,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,6540,NA,NA,5.3,880,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,12320,NA,NA,4.8,640,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,11220,NA,NA,8.3,1060,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,3920,NA,NA,3.9,600,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,12780,NA,NA,3.5,320,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,14240,NA,NA,6.2,820,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,14220,NA,NA,4.8,260,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,11080,NA,NA,6.2,600,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,11420,NA,NA,3.8,500,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,12360,NA,NA,3.5,460,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,13020,NA,NA,3.3,400,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,10280,NA,NA,6.9,420,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,12140,NA,NA,5.9,860,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,2820,NA,NA,3.3,500,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,11240,NA,NA,4,220,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,12880,NA,NA,3.7,240,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,10740,NA,NA,4.1,360,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,4440,NA,NA,7.8,960,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,7400,NA,NA,13.1,1160,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,6600,NA,NA,10.2,1120,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,NA,6040,NA,NA,9.2,1140,Newfoundland,,"Hunt, E. R., M. B. Lavigne, and S. E. Franklin. 1999. Factors controlling the decline of net primary production with stand age for balsam fir in Newfoundland assessed using an ecosystem simulation model. Ecological Modelling 122:151–164.",,,,,,,,
Abies balsamea,30,NA,NA,NA,4.1,NA,Western Newfoundland and New Brunswick,Also has respiration data,"Lavigne, M. B., S. E. Franklin, and E. R. Hunt Jr. 1996. Estimating stem maintenance respiration rates of dissimilar balsam fir stands. Tree Physiology 16:687–695.",,,,,,,,
Abies balsamea,60,NA,NA,NA,5.83,NA,Western Newfoundland and New Brunswick,Also has respiration data,"Lavigne, M. B., S. E. Franklin, and E. R. Hunt Jr. 1996. Estimating stem maintenance respiration rates of dissimilar balsam fir stands. Tree Physiology 16:687–695.",,,,,,,,
Abies balsamea,10,NA,NA,NA,7.83,NA,Western Newfoundland and New Brunswick,Also has respiration data,"Lavigne, M. B., S. E. Franklin, and E. R. Hunt Jr. 1996. Estimating stem maintenance respiration rates of dissimilar balsam fir stands. Tree Physiology 16:687–695.",,,,,,,,
Abies balsamea,30,NA,NA,NA,9.71,NA,Western Newfoundland and New Brunswick,Also has respiration data,"Lavigne, M. B., S. E. Franklin, and E. R. Hunt Jr. 1996. Estimating stem maintenance respiration rates of dissimilar balsam fir stands. Tree Physiology 16:687–695.",,,,,,,,
Abies balsamea,15,NA,NA,NA,NA,NA,Western Newfoundland and New Brunswick,Also has respiration data,"Lavigne, M. B., S. E. Franklin, and E. R. Hunt Jr. 1996. Estimating stem maintenance respiration rates of dissimilar balsam fir stands. Tree Physiology 16:687–695.",,,,,,,,
NA,3,NA,180.9312639,NA,0.017738359,NA,"Thompson, Manitoba",Digitized from Fig. 2,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Pinus banksiana,6,NA,191.5742794,NA,0.390243902,NA,"Thompson, Manitoba",Digitized from Fig. 3,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
NA,12,NA,180.9312639,NA,0.67405765,NA,"Thompson, Manitoba",Digitized from Fig. 4,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Pinus banksiana,20,NA,322.8381375,NA,1.472283814,NA,"Thompson, Manitoba",Digitized from Fig. 5,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Mixed,37,NA,454.1019956,NA,1.986696231,NA,"Thompson, Manitoba",Digitized from Fig. 6,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Picea mariana,71,NA,1365.853659,NA,6.988913525,NA,"Thompson, Manitoba",Digitized from Fig. 7,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Picea mariana,131,NA,1121.064302,NA,5.445676275,NA,"Thompson, Manitoba",Digitized from Fig. 8,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
NA,3,NA,188.0266075,NA,0.070953437,NA,"Thompson, Manitoba",Digitized from Fig. 9,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
NA,6,NA,173.8359202,NA,0.088691796,NA,"Thompson, Manitoba",Digitized from Fig. 10,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
NA,12,NA,180.9312639,NA,1.720620843,NA,"Thompson, Manitoba",Digitized from Fig. 11,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Pinus banksiana,20,NA,184.4789357,NA,0.496674058,NA,"Thompson, Manitoba",Digitized from Fig. 12,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Pinus banksiana,37,NA,241.2416851,NA,1.596452328,NA,"Thompson, Manitoba",Digitized from Fig. 13,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Picea mariana,71,NA,805.3215078,NA,3.10421286,NA,"Thompson, Manitoba",Digitized from Fig. 14,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Picea mariana,131,NA,397.3392461,NA,1.348115299,NA,"Thompson, Manitoba",Digitized from Fig. 15,"Bond-Lamberty, B., C. Wang, S. T. Gower, and J. Norman. 2002. Leaf area dynamics of a boreal black spruce fire chronosequence. Tree physiology 22:993–1001.",,,,,,,,
Pinus resinosa,25,NA,NA,NA,6.171333345,364.94334,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,25,NA,NA,NA,6.171333345,641.85726,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,25,NA,NA,NA,6.171333345,460.4027,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,60,NA,NA,NA,3.728019164,318.41934,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,60,NA,NA,NA,3.728019164,230.50248,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,60,NA,NA,NA,3.728019164,171.65032,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,65,NA,NA,NA,5.416702831,263.67088,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,65,NA,NA,NA,5.416702831,271.57398,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,65,NA,NA,NA,5.416702831,261.41652,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,70,NA,NA,NA,5.105212908,158.70064,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,70,NA,NA,NA,5.105212908,166.70902,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,70,NA,NA,NA,5.105212908,207.14864,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,53,NA,NA,NA,3.380075338,186.35812,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,53,NA,NA,NA,3.380075338,198.80198,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,53,NA,NA,NA,3.380075338,225.1455,"UMBS, northern MI",planted pine; LAI not given for each site but for age groups,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,85,NA,NA,NA,6.592532158,393.341,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,85,NA,NA,NA,6.592532158,445.92116,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,85,NA,NA,NA,6.592532158,174.4484,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,70,NA,NA,NA,6.473935459,245.2525,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,70,NA,NA,NA,6.473935459,166.75366,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,70,NA,NA,NA,6.473935459,157.70412,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,44,NA,NA,NA,5.214296874,322.24616,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,44,NA,NA,NA,5.214296874,384.37686,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,44,NA,NA,NA,5.214296874,395.60788,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,20,NA,NA,NA,1.0608433,235.60822,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,20,NA,NA,NA,1.0608433,344.38402,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,20,NA,NA,NA,1.0608433,144.97478,"UMBS, northern MI",natural stand; LAI not given per site,"Hickey, L. J., J. Atkins, R. T. Fahey, M. R. Kreider, S. B. Wales, and C. M. Gough. 2019. Contrasting Development of Canopy Structure and Primary Production in Planted and Naturally Regenerated Red Pine Forests. Forests 10:566.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,0.652173913,819.0751355,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,1.144927536,557.5407366,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,1.144927536,439.2127623,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,1.927536232,697.7895832,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.579710145,673.1845224,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.579710145,616.5928826,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.913043478,773.2202495,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,4.550724638,295.8572161,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,4.608695652,162.1945726,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.985507246,408.0712056,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.724637681,284.151172,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.855072464,263.7960762,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.405797101,371.0641999,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.217391304,381.0304923,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.275362319,267.9466269,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
