"","V1","albedos","month"
"161",801,0.0247063293745366,5
"162",801,0.0216733723216112,6
"163",801,0.0209702481607812,7
"164",801,0.0222031720934842,8
"165",801,0.0231345613415946,9
"166",801,0.0232879903562814,10
"167",801,0.0235960965878001,11
"168",801,0.0255647527131938,12
"133",802,0.0270337048697225,1
"134",802,0.0279942754040131,2
"135",802,0.0284852887324425,3
"136",802,0.0279011329064242,4
"137",802,0.0272772375699678,5
"138",802,0.0254042113279738,6
"139",802,0.0259400607676498,7
"140",802,0.0281251669673473,8
"141",802,0.0294268960293441,9
"142",802,0.0293107386915594,10
"143",802,0.0289007034435698,11
"144",802,0.0276987262085202,12
"205",901,0.0357327016724481,1
"206",901,0.046513640721639,2
"207",901,0.0482001660664876,3
"208",901,0.0452539886368646,4
"209",901,0.0330557010968526,5
"210",901,0.025839678340488,6
"211",901,0.0241986597379049,7
"212",901,0.0250807428359985,8
"213",901,0.0261942678027683,9
"214",901,0.0266924844847785,10
"215",901,0.0301915186776055,11
"216",901,0.0410026851230197,12
"121",902,0.0292982925042444,1
"122",902,0.0322444622651328,2
"123",902,0.0331625680214466,3
"124",902,0.03187527032341,4
"125",902,0.0285859128830803,5
"126",902,0.0253243183243079,6
"127",902,0.0251197007462859,7
"128",902,0.0268632148635335,8
"129",902,0.0280258337324057,9
"130",902,0.0281104602704644,10
"131",902,0.0289505970700549,11
"132",902,0.0311041729894588,12
"217",1001,0.0732104159113186,1
"218",1001,0.100823330537328,2
"219",1001,0.105070166829807,3
"220",1001,0.0997645677879675,4
"221",1001,0.0775545606186141,5
"222",1001,0.0475202062236729,6
"223",1001,0.0401529172925807,7
"224",1001,0.0407511600665192,8
"225",1001,0.0423205697927902,9
"226",1001,0.0438282203389638,10
"227",1001,0.0554891632991051,11
"228",1001,0.0739718271602284,12
"73",1101,0.0410322554147809,1
"74",1101,0.0502947889398621,2
"75",1101,0.0530935358793977,3
"76",1101,0.0491622383264703,4
"77",1101,0.0383493708539955,5
"78",1101,0.0280099449111684,6
"79",1101,0.0259529315481472,7
"80",1101,0.026921130037935,8
"81",1101,0.0283561838255413,9
"82",1101,0.0289631737189442,10
"83",1101,0.0330891196554386,11
"84",1101,0.0436513381011629,12
"25",1102,0.0540425969433948,1
"26",1102,0.0645323265083115,2
"27",1102,0.0701067850821761,3
"28",1102,0.066101697796913,4
"29",1102,0.052881045916978,5
"30",1102,0.0367762346408909,6
"31",1102,0.033215248463694,7
"32",1102,0.0343206564820585,8
"33",1102,0.0358335641406489,9
"34",1102,0.0363535681825604,10
"35",1102,0.0422760808215621,11
"36",1102,0.0552210963235632,12
"13",1201,0.0714569717875266,1
"14",1201,0.0963129969960301,2
"15",1201,0.106064307017489,3
"16",1201,0.103257328865388,4
"17",1201,0.0805298031376221,5
"18",1201,0.0479707166676683,6
"19",1201,0.0396709888484132,7
"20",1201,0.0398762336688234,8
"21",1201,0.0414034670848191,9
"22",1201,0.0427811888837106,10
"23",1201,0.0538723673065649,11
"24",1201,0.0750379513883831,12
"277",1202,0.0590952377319336,1
"278",1202,0.2155,2
"279",1202,0.17775,3
"280",1202,0.168388885498047,4
"281",1202,0.147487396240234,5
"282",1202,0.0812266693115234,6
"283",1202,0.0550709686279297,7
"284",1202,0.0520967750549316,8
"285",1202,0.0510939598083496,9
"286",1202,0.0529264717102051,10
"287",1202,0.0688833312988281,11
"288",1202,0.1105,12
"109",1301,0.0581122648389372,1
"110",1301,0.0726707768139539,2
"111",1301,0.071270801835863,3
"112",1301,0.0707509332160427,4
"113",1301,0.0538747501993833,5
"114",1301,0.0381481121566198,6
"115",1301,0.0351558548979563,7
"116",1301,0.0361492707598699,8
"117",1301,0.037289179837867,9
"118",1301,0.0375718618647693,10
"119",1301,0.044266842424053,11
"120",1301,0.0606477045033076,12
"169",1302,0.0640888455960617,1
"170",1302,0.0797062465922983,2
"171",1302,0.0817186083365912,3
"172",1302,0.0791299945843889,4
"173",1302,0.0645234368893966,5
"174",1302,0.0443205499491676,6
"175",1302,0.0392851095356957,7
"176",1302,0.0400936271805968,8
"177",1302,0.0415650436413957,9
"178",1302,0.0420414719219648,10
"179",1302,0.0492143960518412,11
"180",1302,0.0641170033118119,12
"97",1402,0.0685178289731344,1
"98",1402,0.0803503475771605,2
"99",1402,0.100605593057984,3
"100",1402,0.0948915508482191,4
"101",1402,0.0767092066340976,5
"102",1402,0.0477903978029887,6
"103",1402,0.0398010357962714,7
"104",1402,0.0404264398150974,8
"105",1402,0.0418924528121948,9
"106",1402,0.0425028998374939,10
"107",1402,0.0522192788653904,11
"108",1402,0.0688790490998162,12
