"SPCD","COMMON_NAME","GENUS","SPECIES","VARIETY","SUBSPECIES","SPECIES_SYMBOL","E_SPGRPCD","W_SPGRPCD","C_SPGRPCD","P_SPGRPCD","MAJOR_SPGRPCD","STOCKING_SPGRPCD","FOREST_TYPE_SPGRPCD","EXISTS_IN_NCRS","EXISTS_IN_NERS","EXISTS_IN_PNWRS","EXISTS_IN_RMRS","EXISTS_IN_SRS","SITETREE","SFTWD_HRDWD","ST_EXISTS_IN_NCRS","ST_EXISTS_IN_NERS","ST_EXISTS_IN_PNWRS","ST_EXISTS_IN_RMRS","ST_EXISTS_IN_SRS","CORE","EAST","WEST","CARIBBEAN","PACIFIC","WOODLAND","MANUAL_START","MANUAL_END","JENKINS_SPGRPCD","JENKINS_TOTAL_B1","JENKINS_TOTAL_B2","JENKINS_STEM_WOOD_RATIO_B1","JENKINS_STEM_WOOD_RATIO_B2","JENKINS_STEM_BARK_RATIO_B1","JENKINS_STEM_BARK_RATIO_B2","JENKINS_FOLIAGE_RATIO_B1","JENKINS_FOLIAGE_RATIO_B2","JENKINS_ROOT_RATIO_B1","JENKINS_ROOT_RATIO_B2","JENKINS_SAPLING_ADJUSTMENT","WOOD_SPGR_GREENVOL_DRYWT","WOOD_SPGR_GREENVOL_DRYWT_CIT","BARK_SPGR_GREENVOL_DRYWT","BARK_SPGR_GREENVOL_DRYWT_CIT","MC_PCT_GREEN_BARK","MC_PCT_GREEN_BARK_CIT","MC_PCT_GREEN_WOOD","MC_PCT_GREEN_WOOD_CIT","WOOD_SPGR_MC12VOL_DRYWT","WOOD_SPGR_MC12VOL_DRYWT_CIT","BARK_VOL_PCT","BARK_VOL_PCT_CIT","RAILE_STUMP_DOB_B1","RAILE_STUMP_DIB_B1","RAILE_STUMP_DIB_B2","CWD_DECAY_RATIO1","CWD_DECAY_RATIO2","CWD_DECAY_RATIO3","CWD_DECAY_RATIO4","CWD_DECAY_RATIO5","DWM_CARBON_RATIO","STANDING_DEAD_DECAY_RATIO1","STANDING_DEAD_DECAY_RATIO2","STANDING_DEAD_DECAY_RATIO3","STANDING_DEAD_DECAY_RATIO4","STANDING_DEAD_DECAY_RATIO5","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","DRYWT_TO_GREENWT_CONVERSION"
936,"European mountain-ash","Sorbus","aucuparia","","","SOAU",43,47,,,4,25,146,"","X","","","X","","H","","","","","","Y","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
937,"northern mountain-ash","Sorbus","decora","","","SODE3",43,47,,,4,25,221,"X","X","","","","","H","","","","","","Y","E","","","","",2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
940,"West Indian mahogany","Swietenia","mahagoni","","","SWMA2",43,47,54,54,4,37,146,"","","X","","X","","H","","","","","","N","E","","C","P","",2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
950,"basswood spp.","Tilia","spp.","","","TILIA",38,47,,,3,35,221,"X","X","","","X","","H","","","","","","N","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,23,0.48,23,90,23,105,23,0.37,23,10.53,21,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,1.04,1.08,0.848,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.02953927198929142018221857593160326439E00
951,"American basswood","Tilia","americana","","","TIAM",38,47,,,3,35,124,"X","X","","","X","X","H","X","X","","","","Y","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,1,0.48,3,90.3125,22,105.34375,1,0.37,1,10.5,28,0.12766,0.91979,0.12152,1,1,0.8,0.37,0.282,0.491,1.04,1.08,0.848,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.03298461123110151187904967602591792657E00
952,"white basswood","Tilia","americana","heterophylla","","TIAMH",38,47,,,3,35,124,"X","X","","","X","","H","","","","","","N","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,24,0.48,24,90,24,105,24,0.37,24,10.53,24,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,1.04,1.08,0.848,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.02953927198929142018221857593160326439E00
953,"Carolina basswood","Tilia","americana","caroliniana","","TIAMC",38,47,,,3,35,124,"X","","","","X","","H","","","","","","N","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,24,0.48,24,90,24,105,24,0.37,24,10.53,24,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,1.04,1.08,0.848,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.02953927198929142018221857593160326439E00
970,"elm spp.","Ulmus","spp.","","","ULMUS",41,47,,,3,36,221,"X","X","","","X","","H","","","","","","N","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.54,23,0.43,23,91.08,14,66,23,0.59,23,14,32,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.68515521492835721426191269576807730756E00
971,"winged elm","Ulmus","alata","","","ULAL",41,47,,,4,36,209,"X","X","","","X","","H","","","","","","Y","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.6,11,0.45,22,74.51111,22,41.56667,22,0.66,11,14,21,0.12766,0.91979,0.12152,0.944,0.734,0.583,0.37,0.282,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.4469713714932126696832579185520361991E00
972,"American elm","Ulmus","americana","","","ULAM",41,47,,,3,36,94,"X","X","","X","X","X","H","X","X","","X","","Y","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.46,1,0.44,3,78.47727,22,94,1,0.5,1,14,21,0.12766,0.91979,0.12152,0.944,0.734,0.583,0.37,0.282,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.92166794156441717791411042944785276073E00
