"","CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE","DAMAGE_AGENT_CD1_SRS","PCT_AFFECTED_DAMAGE_AGENT1_SRS","DAMAGE_AGENT_CD2_SRS","PCT_AFFECTED_DAMAGE_AGENT2_SRS","DAMAGE_AGENT_CD3_SRS","PCT_AFFECTED_DAMAGE_AGENT3_SRS","AGECD_RMRS","COUNTCHKCD_RMRS"
"2818",176464462010661,102518424010661,2007,26,3,47,20001,3,1,12,6,0.0009,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2819",176464465010661,102518424010661,2007,26,3,47,20001,4,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2820",156948589010661,102507480010661,2007,26,4,49,20200,2,1,746,37,0.002,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2821",176537497010661,102513753010661,2007,26,2,61,20266,2,1,746,37,0.002,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2822",176538511010661,102513780010661,2007,26,2,61,20254,1,1,12,6,0.0017,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2823",176538514010661,102513780010661,2007,26,2,61,20254,2,1,746,37,0.0001,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2824",176538515010661,102513780010661,2007,26,2,61,20254,3,1,12,6,0.0013,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2825",176538517010661,102513780010661,2007,26,2,61,20254,4,1,12,6,0.0001,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2826",156969373010661,102510045010661,2007,26,2,61,20091,4,1,12,6,7.0527,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2827",156969374010661,102510045010661,2007,26,2,61,20091,4,1,746,37,11.2302,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2828",176523000010661,102517494010661,2007,26,2,103,20049,2,1,12,6,0.0024,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2829",176523001010661,102517494010661,2007,26,2,103,20049,2,1,746,37,0.0073,7,NA,7,524.756977,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2830",176523003010661,102517494010661,2007,26,2,103,20049,3,1,12,6,0.0018,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2831",176523004010661,102517494010661,2007,26,2,103,20049,3,1,746,37,0.0167,16,NA,16,1199.444519,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2832",176522996010661,102517494010661,2007,26,2,103,20049,1,1,12,6,0.0012,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2833",176522997010661,102517494010661,2007,26,2,103,20049,1,1,746,37,0.0094,9,NA,9,674.687542,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2834",176523492010661,102517446010661,2007,26,2,103,20878,4,1,746,37,0.0022,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2835",176459392010661,102517200010661,2007,26,1,41,29061,1,1,12,6,0.0017,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2836",176459393010661,102517200010661,2007,26,1,41,29061,2,1,12,6,0.0013,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2837",176459394010661,102517200010661,2007,26,1,41,29061,3,1,12,6,0.0026,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2838",176458505010661,102517224010661,2007,26,1,41,20091,4,1,746,37,0.0007,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2839",176458253010661,102517305010661,2007,26,1,41,29056,1,1,12,6,0.0046,8,NA,8,599.72226,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2840",176458255010661,102517305010661,2007,26,1,41,29056,2,1,12,6,0.0052,9,NA,9,674.687542,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2841",176458259010661,102517305010661,2007,26,1,41,29056,3,2,12,6,0.0069,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2842",176458260010661,102517305010661,2007,26,1,41,29056,4,1,12,6,0.0006,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2843",156946701010661,102509616010661,2007,26,1,41,20127,1,1,12,6,0.0086,20,NA,20,1499.305649,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2844",156946703010661,102509616010661,2007,26,1,41,20127,2,1,12,6,0.0026,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2845",156946706010661,102509616010661,2007,26,1,41,20127,3,1,12,6,0.0017,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2846",156946711010661,102509616010661,2007,26,1,41,20127,4,1,12,6,0.0026,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2847",156949257010661,102510189010661,2007,26,2,53,20098,2,1,12,6,0.0009,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2848",156949261010661,102510189010661,2007,26,2,53,20098,3,1,12,6,0.0007,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2849",176515846010661,102517968010661,2007,26,1,95,20024,3,1,12,6,0.0013,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2850",176516765010661,102514050010661,2007,26,1,95,20329,4,1,12,6,0.0017,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2851",176515527010661,102517071010661,2007,26,1,95,20396,1,1,12,6,0.0017,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2852",176515531010661,102517071010661,2007,26,1,95,20396,2,1,12,6,0.0078,18,NA,18,1349.375084,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2853",176515533010661,102517071010661,2007,26,1,95,20396,3,1,12,6,0.0026,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2854",176515536010661,102517071010661,2007,26,1,95,20396,4,1,12,6,0.0026,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2855",156978823010661,102509520010661,2007,26,1,97,20314,1,1,12,6,0.006,14,NA,14,1049.513954,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2856",156978827010661,102509520010661,2007,26,1,97,20314,2,1,12,6,0.0009,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2857",156978829010661,102509520010661,2007,26,1,97,20314,3,1,12,6,0.0001,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2858",156978831010661,102509520010661,2007,26,1,97,20314,4,1,12,6,0.0052,9,NA,9,674.687542,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2859",176451440010661,102516117010661,2007,26,3,31,20320,1,1,12,6,0.0019,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2860",176451442010661,102516117010661,2007,26,3,31,20320,1,1,746,37,0.0076,7,NA,7,524.756977,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2861",176451445010661,102516117010661,2007,26,3,31,20320,2,2,746,37,0.0023,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
